  kx         ky         kz
  1.656243   0.940358   -4.744446  
  1.473245   1.118110   -4.744446  
  1.294806   1.294806   -4.744446  
  1.294806   1.294806   -4.744446  
  1.118110   1.473245   -4.744446  
  0.940358   1.656243   -4.744446  
  0.758398   1.846759   -4.744446  
  0.567579   2.047853   -4.744446  
  0.356381   2.261988   -4.744446  
  0.004159   2.472872   -4.744446  
  -0.004159   2.472872   -4.744446  
  -0.356381   2.261988   -4.744446  
  -0.567579   2.047853   -4.744446  
  -0.758398   1.846759   -4.744446  
  -0.940358   1.656243   -4.744446  
  -1.118110   1.473245   -4.744446  
  -1.294806   1.294806   -4.744446  
  -1.294806   1.294806   -4.744446  
  -1.473245   1.118110   -4.744446  
  -1.656243   0.940358   -4.744446  
  -1.846759   0.758398   -4.744446  
  -2.047853   0.567579   -4.744446  
  -2.261988   0.356381   -4.744446  
  -2.472872   0.004159   -4.744446  
  -2.472872   -0.004159   -4.744446  
  -2.261988   -0.356381   -4.744446  
  -2.047853   -0.567579   -4.744446  
  -1.846759   -0.758398   -4.744446  
  -1.656243   -0.940358   -4.744446  
  -1.473245   -1.118110   -4.744446  
  -1.294806   -1.294806   -4.744446  
  -1.294806   -1.294806   -4.744446  
  -1.118110   -1.473245   -4.744446  
  -0.940358   -1.656243   -4.744446  
  -0.758398   -1.846759   -4.744446  
  -0.567579   -2.047853   -4.744446  
  -0.356381   -2.261988   -4.744446  
  -0.004159   -2.472872   -4.744446  
  0.004159   -2.472872   -4.744446  
  0.356381   -2.261988   -4.744446  
  0.567579   -2.047853   -4.744446  
  0.758398   -1.846759   -4.744446  
  0.940358   -1.656243   -4.744446  
  1.118110   -1.473245   -4.744446  
  1.294806   -1.294806   -4.744446  
  1.294806   -1.294806   -4.744446  
  1.473245   -1.118110   -4.744446  
  1.656243   -0.940358   -4.744446  
  1.846759   -0.758398   -4.744446  
  2.047853   -0.567579   -4.744446  
  2.261988   -0.356381   -4.744446  
  2.472872   -0.004159   -4.744446  
  2.472872   0.004159   -4.744446  


  2.485788   0.064757   -4.487990  
  2.265540   0.367627   -4.487990  
  2.050393   0.573556   -4.487990  
  1.848398   0.761415   -4.487990  
  1.657068   0.941581   -4.487990  
  1.473476   1.118390   -4.487990  
  1.294806   1.294806   -4.487990  
  1.294806   1.294806   -4.487990  
  1.118390   1.473476   -4.487990  
  0.941581   1.657068   -4.487990  
  0.761415   1.848398   -4.487990  
  0.573556   2.050393   -4.487990  
  0.367627   2.265540   -4.487990  
  0.064757   2.485788   -4.487990  
  -0.064757   2.485788   -4.487990  
  -0.367627   2.265540   -4.487990  
  -0.573556   2.050393   -4.487990  
  -0.761415   1.848398   -4.487990  
  -0.941581   1.657068   -4.487990  
  -1.118390   1.473476   -4.487990  
  -1.294806   1.294806   -4.487990  
  -1.294806   1.294806   -4.487990  
  -1.473476   1.118390   -4.487990  
  -1.657068   0.941581   -4.487990  
  -1.848398   0.761415   -4.487990  
  -2.050393   0.573556   -4.487990  
  -2.265540   0.367627   -4.487990  
  -2.485788   0.064757   -4.487990  
  -2.485788   -0.064757   -4.487990  
  -2.265540   -0.367627   -4.487990  
  -2.050393   -0.573556   -4.487990  
  -1.848398   -0.761415   -4.487990  
  -1.657068   -0.941581   -4.487990  
  -1.473476   -1.118390   -4.487990  
  -1.294806   -1.294806   -4.487990  
  -1.294806   -1.294806   -4.487990  
  -1.118390   -1.473476   -4.487990  
  -0.941581   -1.657068   -4.487990  
  -0.761415   -1.848398   -4.487990  
  -0.573556   -2.050393   -4.487990  
  -0.367627   -2.265540   -4.487990  
  -0.064757   -2.485788   -4.487990  
  0.064757   -2.485788   -4.487990  
  0.367627   -2.265540   -4.487990  
  0.573556   -2.050393   -4.487990  
  0.761415   -1.848398   -4.487990  
  0.941581   -1.657068   -4.487990  
